Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
-7,-1,-17,0,0
0,0,-13,0,0
38,2,30,30,1
-6,-1,-10,0,0
-6,-1,-1,0,0
-6,-1,-1,0,0
11,0,-11,0,0
-6,-1,-19,0,0
-3,-1,-20,0,0
-2,-1,8,8,0
-2,-1,23,23,1
-5,-1,-31,0,0
-8,-1,-6,0,0
-4,-1,-9,0,0
-2,-1,-8,0,0
-11,-1,-18,0,0
-5,-1,-9,0,0
-4,-1,-9,0,0
-4,-1,-14,0,0
-6,-1,-9,0,0
-6,-1,-13,0,0
-7,-1,5,5,0
-6,-1,-19,0,0
-3,-1,-2,0,0
-2,-1,-11,0,0
-6,-1,-18,0,0
-2,-1,8,8,0
-5,-1,-29,0,0
-3,-1,-28,0,0
-3,-1,-24,0,0
-4,-1,3,3,0
-6,-1,-20,0,0
-8,-1,-9,0,0
-5,-1,-12,0,0
-3,-1,-2,0,0
2,0,12,12,0
-3,-1,7,7,0
0,0,-14,0,0
-7,-1,-40,0,0
-4,-1,-28,0,0
-2,-1,-12,0,0
-8,-1,-22,0,0
12,0,3,3,0
-5,-1,-8,0,0
-5,-1,-32,0,0
-1,-1,10,10,0
7,0,-16,0,0
0,0,33,33,1
5,0,-28,0,0
18,1,-28,0,0
-7,-1,-36,0,0
31,2,-15,0,0
13,0,-4,0,0
6,0,-21,0,0
-5,-1,-30,0,0
46,3,52,52,1
0,0,-6,0,0
-6,-1,-13,0,0
30,2,10,10,0
27,1,39,39,1
-1,-1,-19,0,0
-11,-1,-29,0,0
16,1,52,52,1
-7,-1,32,32,1
-2,-1,61,61,1
1,0,-8,0,0
-2,-1,-19,0,0
-1,-1,-19,0,0
-4,-1,-26,0,0
-3,-1,-8,0,0
5,0,22,22,1
-5,-1,-6,0,0
-4,-1,-14,0,0
0,0,-18,0,0
10,0,7,7,0
0,0,7,7,0
12,0,-5,0,0
9,0,-2,0,0
15,1,13,13,0
-5,-1,-21,0,0
9,0,-10,0,0
9,0,7,7,0
-4,-1,-17,0,0
-1,-1,-1,0,0
-3,-1,-4,0,0
0,0,45,45,1
0,0,-16,0,0
22,1,25,25,1
18,1,-11,0,0
-5,-1,-19,0,0
0,0,-22,0,0
-1,-1,-20,0,0
9,0,9,9,0
-2,-1,12,12,0
1,0,10,10,0
-6,-1,-37,0,0
-6,-1,-1,0,0
-4,-1,-30,0,0
-4,-1,-11,0,0
0,0,-13,0,0
-1,-1,-32,0,0
-4,-1,-15,0,0
16,1,-4,0,0
-4,-1,-15,0,0
3,0,-8,0,0
-4,-1,-11,0,0
-6,-1,14,14,0
-2,-1,-27,0,0
9,0,13,13,0
-3,-1,-35,0,0
4,0,-12,0,0
11,0,4,4,0
44,2,36,36,1
-2,-1,-11,0,0
0,0,0,0,0
-4,-1,-10,0,0
0,0,-8,0,0
-6,-1,-30,0,0
-1,-1,-22,0,0
-1,-1,-14,0,0
31,2,6,6,0
-2,-1,-18,0,0
9,0,16,16,1
51,3,16,16,1
1,0,-28,0,0
-5,-1,-23,0,0
2,0,-46,0,0
18,1,13,13,0
38,2,48,48,1
-3,-1,-10,0,0
-2,-1,-5,0,0
-6,-1,-21,0,0
39,2,19,19,1
-5,-1,-23,0,0
-6,-1,-5,0,0
-3,-1,-17,0,0
-2,-1,-10,0,0
0,0,-2,0,0
-5,-1,15,15,1
-4,-1,-16,0,0
-6,-1,-14,0,0
10,0,26,26,1
37,2,38,38,1
2,0,-4,0,0
-5,-1,1,1,0
-4,-1,-24,0,0
8,0,9,9,0
6,0,11,11,0
-1,-1,9,9,0
4,0,-1,0,0
-3,-1,-14,0,0
46,3,37,37,1
-2,-1,-15,0,0
26,1,12,12,0
-1,-1,-17,0,0
27,1,11,11,0
-4,-1,-4,0,0
12,0,12,12,0
-2,-1,-31,0,0
-1,-1,-13,0,0
17,1,-7,0,0
25,1,18,18,1
7,0,-10,0,0
-6,-1,-20,0,0
15,1,16,16,1
-1,-1,-20,0,0
3,0,-2,0,0
41,2,33,33,1
20,1,-1,0,0
33,2,13,13,0
-2,-1,-14,0,0
12,0,17,17,1
37,2,30,30,1
-3,-1,-5,0,0
15,1,22,22,1
-5,-1,-14,0,0
-1,-1,-28,0,0
-1,-1,19,19,1
-1,-1,-19,0,0
0,0,-6,0,0
-4,-1,-3,0,0
-5,-1,2,2,0
-2,-1,1,1,0
45,3,62,62,1
19,1,32,32,1
-2,-1,-32,0,0
55,3,45,45,1
-5,-1,-14,0,0
3,0,-31,0,0
-2,-1,-46,0,0
0,0,0,0,0
20,1,46,46,1
-4,-1,0,0,0
16,1,28,28,1
0,0,-23,0,0
-6,-1,-28,0,0
2,0,2,2,0
3,0,-9,0,0
52,3,55,55,1
-2,-1,17,17,1
1,0,1,1,0
-5,-1,-31,0,0
20,1,-5,0,0
25,1,28,28,1
3,0,-6,0,0
-2,-1,3,3,0
-1,-1,-36,0,0
14,0,5,5,0
7,0,-5,0,0
-5,-1,-24,0,0
-2,-1,-13,0,0
-2,-1,-4,0,0
0,0,-11,0,0
-3,-1,-20,0,0
-1,-1,-6,0,0
-8,-1,-3,0,0
5,0,-5,0,0
12,0,22,22,1
-4,-1,-24,0,0
-3,-1,-24,0,0
-4,-1,-10,0,0
