Dep_Delay,Dep_Delay_Groups,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15
0,0,-12,0,0
0,0,-26,0,0
21,1,9,9,0
15,1,-6,0,0
98,6,107,107,1
18,1,-19,0,0
4,0,-35,0,0
74,4,39,39,1
4,0,-17,0,0
50,3,46,46,1
26,1,28,28,1
-4,-1,-7,0,0
-7,-1,-21,0,0
11,0,10,10,0
-3,-1,-5,0,0
-7,-1,-31,0,0
-8,-1,-40,0,0
0,0,-12,0,0
105,7,115,115,1
7,0,-20,0,0
162,10,172,172,1
65,4,59,59,1
59,3,35,35,1
12,0,-20,0,0
0,0,41,41,1
21,1,-6,0,0
31,2,9,9,0
17,1,52,52,1
80,5,72,72,1
1,0,7,7,0
-4,-1,9,9,0
-3,-1,-13,0,0
2,0,12,12,0
-6,-1,20,20,1
116,7,113,113,1
-3,-1,-6,0,0
555,12,546,546,1
-3,-1,112,112,1
133,8,202,202,1
-8,-1,-16,0,0
360,12,373,373,1
187,12,185,185,1
2,0,8,8,0
-6,-1,9,9,0
-2,-1,-15,0,0
65,4,62,62,1
-4,-1,-5,0,0
-4,-1,-2,0,0
-5,-1,12,12,0
36,2,46,46,1
7,0,22,22,1
-5,-1,-8,0,0
28,1,20,20,1
-7,-1,7,7,0
19,1,9,9,0
7,0,14,14,0
-3,-1,-7,0,0
-6,-1,-13,0,0
-1,-1,-14,0,0
-1,-1,-18,0,0
-4,-1,-29,0,0
-1,-1,11,11,0
24,1,19,19,1
-7,-1,-5,0,0
1,0,-6,0,0
-6,-1,-11,0,0
6,0,-2,0,0
36,2,26,26,1
0,0,5,5,0
130,8,235,235,1
-3,-1,-35,0,0
52,3,13,13,0
-5,-1,-19,0,0
90,6,140,140,1
12,0,-21,0,0
-8,-1,-33,0,0
127,8,82,82,1
-5,-1,2,2,0
-8,-1,-1,0,0
89,5,79,79,1
14,0,-5,0,0
-6,-1,-18,0,0
8,0,-10,0,0
59,3,53,53,1
-3,-1,-19,0,0
-1,-1,12,12,0
194,12,162,162,1
0,0,-23,0,0
-7,-1,-5,0,0
-7,-1,-17,0,0
